1501144677,https://www.amazon.com/Sentient-Machine-Coming-Artificial-Intelligence/dp/1501144677,The Sentient Machine: The Coming Age of Artificial Intelligence,,Amir Husain,4.4 out of 5 stars,None,$7.32,$11.32,In Stock.
1980953902,https://www.amazon.com/Python-Manuscripts-Programming-Beginners-Intermediates/dp/1980953902,Python: - The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For Intermediates -Python Programming for Advanced,None,,4.3 out of 5 stars,None,None,None,Available to ship in 1-2 days.
0486807932,https://www.amazon.com/Applications-Engineering-Computer-Science-Mathematics/dp/0486807932,Graph Theory with Applications to Engineering and Computer Science (Dover Books on Mathematics),None,Narsingh Deo,4.7 out of 5 stars,None,None,None,Only 11 left in stock (more on the way).
1471809307,https://www.amazon.com/Cambridge-IGCSE-Computer-Science-Watson/dp/1471809307,Cambridge IGCSE Computer Science,None,,5.0 out of 5 stars,None,None,None,In Stock.
B0756JSWGL,https://www.amazon.com/Rogue-Protocol-Murderbot-Martha-Wells-ebook/dp/B0756JSWGL,None,None,Martha Wells,4.5 out of 5 stars,None,None,None,None
B06XBQNBF4,https://www.amazon.com/Computer-Fighters-Neil-Cicierega/dp/B06XBQNBF4,None,None,,None,None,None,None,None
B00K5OUVW8,https://www.amazon.com/jsdroidsoft-Computer-Science-Study-Kit/dp/B00K5OUVW8,None,None,,5.0 out of 5 stars,None,None,None,None
1518662587,https://www.amazon.com/Programming-Computer-Beginners-Basics-JavaScript/dp/1518662587,"Programming: Computer Programming for Beginners: Learn the Basics of Java, SQL & C++ (Coding, C Programming, Java Programming, SQL Programming, JavaScript, Python, PHP)",None,Joseph Connor,3.6 out of 5 stars,None,None,None,Available to ship in 1-2 days.
1508814384,https://www.amazon.com/Information-Technology-Computer-Science-Examinations/dp/1508814384,Information Technology and Computer Science for CAPE Examinations: Unit 1 and 2.: For CAPE and College Students,None,,None,None,None,None,Available to ship in 1-2 days.
1789537177,https://www.amazon.com/Beginning-Java-Data-Structures-Algorithms/dp/1789537177,Beginning Java Data Structures and Algorithms: Sharpen your problem solving skills by learning core computer science concepts in a pain-free manner,None,,None,None,None,None,Available to ship in 1-2 days.
1471542092,https://www.amazon.com/Core-Computer-Science-International-Baccalaureate/dp/1471542092,Core Computer Science: For the IB Diploma Program(International Baccalaureate),None,,4.0 out of 5 stars,None,None,None,Only 1 left in stock - order soon.
1982927445,https://www.amazon.com/Computer-Science-Technology-Lessons-Students/dp/1982927445,10 Weeks of Jr. High Computer Science Technology Class Lessons for Students,None,,None,None,None,None,Only 1 left in stock (more on the way).
178646439X,https://www.amazon.com/Artificial-Intelligence-Python-Comprehensive-Intelligent/dp/178646439X,Artificial Intelligence with Python: A Comprehensive Guide to Building Intelligent Apps for Python Beginners and Developers,None,Prateek Joshi,3.7 out of 5 stars,None,None,None,Available to ship in 1-2 days.
B01GGOHF88,https://www.amazon.com/Thread-Science-Programmer-Information-Technology/dp/B01GGOHF88,Thread Science Binary Funny Computer Programmer Code Humor Engineer Technology Men’s T-Shirt,None,,4.1 out of 5 stars,None,None,None,None
1465439358,https://www.amazon.com/Coding-Games-Scratch-Jon-Woodcock/dp/1465439358,Coding Games in Scratch,None,,4.7 out of 5 stars,None,None,None,In Stock.
